position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
238,238,2007,Australia,Opal,"Lightning Ridge area, New South Wales","Surface mines near Lightning Ridge",Mine,"30. 34'  S","147. 59'  E",-29.43,147.98,A,,"Many small producers",,,Active,0,,,847
239,239,2007,Australia,Opal,"Coober Pedy area, South Australia","Surface mines near Coober Pedy",Mine,"30. 59'  S","134. 43'  E",-29.02,134.72,F,,"Many small producers",,,Active,0,,,847
240,240,2007,Australia,Petroleum,"Kwinana, Western Australia","Kwinana refinery",Plant,"33. 46'  S","115. 46'  E",-32.23,115.76,F,,"BP Amoco Refinery (Kwinana) Pty. Ltd.","BP Amoco Refinery (Kwinana) Pty. Ltd., 100%",,Active,138,"thousand 42-gallon barrels per day",,847
241,241,2007,Australia,Petroleum,"Altona, Victoria","Altona refinery",Plant,"38. 09'  S","144. 52'  E",-37.85,144.86,F,,"Exxon Mobil Corporation","Exxon Mobil Corporation, 100%",,Active,120,"thousand 42-gallon barrels per day",,847
242,242,2007,Australia,Petroleum,"Kurnell, New South Wales","Kurnell refinery",Plant,"35. 59'  S","151. 13'  E",-34.02,151.22,F,,"ChevronTexaco Corp.","ChevronTexaco Corp., 100%",,Active,114,"thousand 42-gallon barrels per day",,847
243,243,2007,Australia,Petroleum,"Geelong, Victoria","Geelong refinery",Plant,"39. 55'  S","144. 23'  E",-38.08,144.38,F,,"Shell Refining (Australia) Pty. Ltd.","Shell Refining (Australia) Pty. Ltd., 100%",,Active,110,"thousand 42-gallon barrels per day",,847
244,244,2007,Australia,Petroleum,"Lytton, Queensland","Lytton refinery",Plant,"28. 35'  S","153. 10'  E",-27.41,153.16,F,,"ChevronTexaco Corp.","ChevronTexaco Corp., 100%",,Active,106,"thousand 42-gallon barrels per day",,847
245,245,2007,Australia,Petroleum,"Clyde, New South Wales","Clyde refinery",Plant,"34. 10'  S","151. 02'  E",-33.83,151.04,F,,"Shell Refining (Australia) Pty. Ltd.","Shell Refining (Australia) Pty. Ltd., 100%",,Active,85,"thousand 42-gallon barrels per day",,847
246,246,2007,Australia,Petroleum,"Bulwer Island, Queensland","Bulwer Island refinery",Plant,"28. 36'  S","153. 08'  E",-27.4,153.14,F,,"BP Amoco Refinery (Bulwer Island) Pty. Ltd.","BP Amoco Refinery (Bulwer Island) Pty. Ltd., 100%",,Active,69,"thousand 42-gallon barrels per day",,847
247,247,2007,Australia,Petroleum,"Port Stanvac, South Australia","Port Stanvac refinery",Plant,"36. 53'  S","138. 29'  E",-35.11,138.49,F,,"Exxon Mobil Corporation","Exxon Mobil Corporation, 100%",,Active,69,"thousand 42-gallon barrels per day",,847
248,248,2007,Australia,"Phosphate rock","140 kilometers northwest of Mount Isa, Queensland","Phosphate Hill-Duchess open pit phosphate mine",Mine,"22. 07'  S","139. 58'  E",-21.88,139.97,F,S,"Incitec Pivot Ltd.","Incitec Pivot Ltd., 100%",,Active,2200,"thousand metric tons per year",,847
249,249,2007,Australia,"Pig iron","Kwinana, Western Australia","Hismelt pig iron plant",Plant,"33. 47'  S","115. 46'  E",-32.21,115.77,F,,"Hismelt Corp. Pty. Ltd.","Hismelt Corp. Pty. Ltd., 100%","Rio Tinto Ltd., 60%; Nucor Corp., 25%; Mitsubishi Corp., 10%; Shougang Corp., 5%",Active,800,"thousand metric tons per year",,847
250,250,2007,Australia,Salt,"10 kilometers northwest of Karratha, Western Australia","Dampier solar evaporation salt pans",Mine,"21. 17'  S","116. 45'  E",-20.71,116.75,F,,"Dampier Salt Ltd.","Dampier Salt Ltd., 100%",,Active,5000,"thousand metric tons per year",,847
251,251,2007,Australia,Salt,"At Port Hedland, Western Australia","Port Hedland solar salt fields",Mine,"21. 40'  S","118. 38'  E",-20.33,118.64,F,,"Dampier Salt Ltd.","Dampier Salt Ltd., 100%",,Active,3000,"thousand metric tons per year",,847
252,252,2007,Australia,Salt,"65 kilometers north of Carnarvon, Western Australia","Lake MacLeod solar salt and gypsum evaporation pans",Mine,"25. 33'  S","113. 33'  E",-24.45,113.55,F,,"Dampier Salt Ltd.","Dampier Salt Ltd., 100%",,Active,900,"thousand metric tons per year",,847
253,253,2007,Australia,Silica,"25 kilometers northeast of Bunbury, Western Australia","Kemerton silica sands dredge",Mine,"34. 46'  S","115. 45'  E",-33.24,115.75,F,,,"Itochu Corp., 50%, and Tochu Corp., 50%",,Active,450,"thousand metric tons per year",,847
254,254,2007,Australia,Silver,"200 kilometers southeast of Mount Isa, Queensland","Cannington underground silver-lead-zinc mine",Mine,"22. 09'  S","140. 55'  E",-21.85,140.91,F,U,"BHP Minerals Ltd.","BHP Minerals Ltd., 100%",,Active,700000,"kilograms per year",,847
255,255,2007,Australia,Silver,"Port Pirie, South Australia","Port Pirie silver smelter",Plant,"34. 50'  S","138. 00'  E",-33.16,138,F,,"Nyrstar Corp.","Nyrstar Corp., 100%",,Active,450000,"kilograms per year",,847
256,256,2007,Australia,Silver,"Mount Isa, Queensland","Mount Isa underground copper-lead-zinc-silver mine (also inncludes Enterprise, George Fisher, and Hilton mine)",Mine,"21. 16'  S","139. 29'  E",-20.73,139.49,F,U,"Xstrata plc","Xstrata plc, 100%",,Active,375000,"kilograms per year",,847
257,257,2007,Australia,Silver,"Cockle Creek, New South Wales","Cockle Creek silver smelter",Plant,"33. 03'  S","151. 38'  E",-32.95,151.63,F,,"Pasminco Ltd.","Pasminco Ltd., 100%",,Active,85000,"kilograms per year",,847
258,258,2007,Australia,Silver,"Broken Hill, New South Wales","Broken Hill underground silver-zinc-lead mine",Mine,"32. 03'  S","141. 29'  E",-31.95,141.48,F,U,"Perilya Ltd.","Perilya Ltd., 100%",,Active,81200,"kilograms per year",,847
259,259,2007,Australia,Silver,"80 kilometers south-southwest of Burnie, Tasmania","Hellyer underground zinc-lead-copper-silver mine",Mine,"42. 25'  S","145. 44'  E",-41.58,145.73,F,U,,"Intec Ltd., 50%; Polymetals Mining  Services Pty. Ltd., 50%",,Active,60000,"kilograms per year",,847
260,260,2007,Australia,Silver,"35 kilometers north of Queenstown, Tasmania","Rosebery underground zinc-lead-silver-copper-gold mine",Mine,"42. 14'  S","145. 33'  E",-41.77,145.55,F,U,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,35000,"kilograms per year",,847
261,261,2007,Australia,Silver,"40 kilometers northwest of Cobar, New South Wales","Endeavor underground zinc-silver-lead mine,",Mine,"32. 49'  S","145. 40'  E",-31.18,145.66,F,U,"CBH Resources Ltd.","CBH Resources Ltd., 100%",,Active,35000,"kilograms per year",,847
262,262,2007,Australia,Silver,"80 kilometers north of Woomera, South Australia","Olympic Dam underground copper-silver-gold-uranium mine at Roxby Downs",Mine,"31. 32'  S","136. 53'  E",-30.46,136.88,F,U,"Olympic Dam Operations Pty. Ltd., operator","BHP Billiton Ltd., 100%",,Active,27000,"kilograms per year",,847
263,263,2007,Australia,Silver,"8 kilometers south of Cobar, New South Wales","Peak underground gold-zinc-lead-copper-silver underground mine (includes New Cobar, New Occidental, and Persevar)",Mine,"32. 26'  S","145. 52'  E",-31.56,145.87,F,U,"GoldCorp Inc","GoldCorp Inc., 100%",,Active,6000,"kilograms per year",,847
264,264,2007,Australia,Silver,"250 kilometers northwest of Mount Isa, Queensland","Century open pit zinc-silver-lead mine",Mine,"19. 16'  S","138. 37'  E",-18.73,138.61,F,S,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,3000,"kilograms per year",,847
265,265,2007,Australia,Silver,"30 kilometers north of Queenstown, Tasmania","Henty underground gold-silver mine",Mine,"42. 08'  S","145. 33'  E",-41.87,145.55,F,U,"Barrick  Gold Corp.","Barrick  Gold Corp., 100%",,Active,1100,"kilograms per year",,847
266,266,2007,Australia,Spodumene,"70 kilometers southeast of Bunbury, Western Australia","Greenbushes open pit/underground tantalite-spodumene mine",Mine,"34. 08'  S","116. 04'  E",-33.86,116.06,F,"S,U","Talison Minerals Pty. Ltd.","Talison Minerals Pty. Ltd., 100%",,Active,150,"thousand metric tons per year",,847
267,267,2007,Australia,Steel,"Port Kembla, New South Wales","Port Kembla steelworks",Plant,"35. 32'  S","150. 53'  E",-34.46,150.89,F,,"Blue Scope Steel Ltd.","Blue Scope Steel Ltd., 100%",,Active,5000,"thousand metric tons per year",,847
268,268,2007,Australia,Steel,"Whyalla, South Australia","Onesteel Whyalla steelworks",Plant,"34. 58'  S","137. 35'  E",-33.03,137.59,F,,"OneSteel Ltd.","OneSteel Ltd., 100%",,Active,1200,"thousand metric tons per year",,847
269,269,2007,Australia,Steel,"Laverton, Melbourne, Victoria","Smorgon Steel Group Ltd.",Plant,"38. 10'  S","144. 47'  E",-37.83,144.79,F,,"Smorgon Steel Group Ltd.",,,Active,700,"thousand metric tons per year",,847
270,270,2007,Australia,Steel,"Waratah, New South Wales","Smorgon Steel Group Ltd.",Plant,"33. 07'  S","151. 45'  E",-32.89,151.75,F,,"Smorgon Steel Group Ltd.",,,Active,285,"thousand metric tons per year",,847
271,271,2007,Australia,Talc,"275 kilometers north of Perth, Western Australia","Three Springs open pit talc mine",Mine,"30. 28'  S","115. 45'  E",-29.53,115.75,F,S,"Rio Tinto Ltd.","Rio Tinto Ltd., 100%",,Active,150,"thousand metric tons per year",,847
272,272,2007,Australia,"Tantalum: tantalite (Ta2O5)","70 kilometers southeast of Bunbury, Western Australia","Greenbushes open pit/underground tantalite-spodumene mine",Mine,"34. 08'  S","116. 04'  E",-33.86,116.06,F,"S,U","Talison Minerals Pty. Ltd.","Talison Minerals Pty. Ltd., 100%",,Active,454,"thousand metric tons per year",,847
273,273,2007,Australia,"Tantalum: tantalite (Ta2O5)","100 kilometers south of Port Hedland, Western Australia","Wodgina open pit tantalite mine",Mine,"22. 49'  S","118. 40'  E",-21.18,118.67,F,S,"Talison Minerals Pty. Ltd.","Talison Minerals Pty. Ltd., 100%",,Active,250,"thousand metric tons per year",,847
274,274,2007,Australia,"Tantalum: tantalite (Ta2O5)","60 kilometers southeast of Kambalda, Western Australia","Bald Hill tantalite mine",Mine,"32. 20'  S","121. 53'  E",-31.67,121.89,F,"S,U","Haddington Resources Ltd.","Haddington Resources Ltd., 100%",,Active,100,"thousand metric tons per year",,847
275,275,2007,Australia,Tin,"136 kilometers south of Burnie, Tasmania","Renison Bell underground tin mine",Mine,"42. 13'  S","145. 26'  E",-41.78,145.44,F,U,"Metals X Ltd.","Metals X Ltd., 100%",,Active,4,"thousand metric tons per year",,847
276,276,2007,Australia,Tin,"35 kilometers south of Cooktown, Queensland","Collingwood underground tin mine",Mine,"16. 14'  S","145. 14'  E",-15.77,145.24,F,U,"Metals X Ltd.","Metals X Ltd., 100%",,Active,3,"thousand metric tons per year",,847
277,277,2007,Australia,Tin,"70 kilometers southeast of Bunbury, Western Australia","Greenbushes open pit/underground tantalite-spodumene mine",Mine,"34. 08'  S","116. 04'  E",-33.86,116.06,F,"S,U","Talison Minerals Pty. Ltd.","Talison Minerals Pty. Ltd., 100%",,Active,1,"thousand metric tons per year",,847
278,278,2007,Australia,Tin,"Greenbushes, Western Australia","Greenbushes smelter",Plant,"34. 08'  S","116. 04'  E",-33.86,116.06,F,,"Talison Minerals Pty. Ltd.","Talison Minerals Pty. Ltd., 100%",,Active,1,"thousand metric tons per year",,847
279,279,2007,Australia,Tungsten,"85 kilometers west of Cairns, Queensland","Wolfram Camp molybdenum-tungsten mine",Mine,"18. 55'  S","145. 02'  E",-17.08,145.04,F,,,"Queensland Ore Ltd., 85%","private interests, 15%",Active,120,"thousand metric tons per year",,847
280,280,2007,Australia,Tungsten,"30 kilometers south of Burnie, Tasmania","Kara magnetite and scheelite mine",Mine,"42. 56'  S","145. 55'  E",-41.07,145.92,F,,,"Itochu Corp., 50%, and Tochu Corp., 50%",,Active,50,"metric tons per year",,847
281,281,2007,Australia,Uranium,"230 kilometers east of Darwin, Northern Territory","Ranger open pit uranium mine",Mine,"13. 19'  S","132. 55'  E",-12.68,132.91,F,S,"Energy Resources of Australia Ltd.","Energy Resources of Australia Ltd., 100%",,Active,5,"thousand metric tons per year",,847
282,282,2007,Australia,Uranium,"80 kilometers north of Woomera, South Australia","Olympic Dam underground copper-silver-gold-uranium mine at Roxby Downs",Mine,"31. 32'  S","136. 53'  E",-30.46,136.88,F,U,"WMC Olympic Dam Operations Pty. Ltd.","WMC Olympic Dam Operations Pty. Ltd., 100%",,Active,4,"thousand metric tons per year",,847
283,283,2007,Australia,Uranium,"310 kilometers northeast of Port Augusta, South Australia","Beverley in situ leach uranium operation",Mine,"31. 49'  S","139. 35'  E",-30.19,139.59,F,,"Heathgate Resources Pty. Ltd.","Heathgate Resources Pty. Ltd., 100%",,Active,1,"thousand metric tons per year",,847
284,284,2007,Australia,Vanadium,"100 kilometers east-southeast of Mount Magnet, Western Australia","Windimurra open pit mine",Mine,"29. 23'  S","118. 50'  E",-28.61,118.84,F,S,,"Precious Metals Australia Ltd., 90%","Noble Group Ltd., 10%",Active,8,"thousand metric tons per year",,847
285,285,2007,Australia,Zinc,"Broken Hill, New South Wales","Broken Hill underground silver-zinc-lead mine",Mine,"32. 01'  S","141. 25'  E",-31.99,141.42,F,U,"Perilya Ltd.","Perilya Ltd., 100%",,Active,360,"thousand metric tons per year",,847
286,286,2007,Australia,Zinc,"Hobart, Tasmania","Hobart smelter",Plant,"43. 10'  S","147. 19'  E",-42.83,147.32,F,,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,320,"thousand metric tons per year",,847
287,287,2007,Australia,Zinc,"Mount Isa, Queensland","Mount Isa underground copper-lead-zinc-silver mine (also includes Enterprise, George Fisher, and Hilton mine)",Mine,"21. 16'  S","139. 29'  E",-20.73,139.49,F,U,"Xstrata plc","Xstrata plc, 100%",,Active,175,"thousand metric tons per year",,847
288,288,2007,Australia,Zinc,"Townsville, Queensland","Sun Metals zinc refinery",Plant,"20. 44'  S","146. 50'  E",-19.26,146.83,F,,"Sun Metals Corp. Pty. Ltd.","Korea Zinc Co., 100%",,Active,170,"thousand metric tons per year",,847
289,289,2007,Australia,Zinc,"40 kilometers northwest of Cobar, New South Wales","Endeavor underground zinc-silver-lead mine",Mine,"32. 49'  S","145. 40'  E",-31.18,145.66,F,U,"CBH Resources Ltd.","CBH Resources Ltd., 100%",,Active,125,"thousand metric tons per year",,847
290,290,2007,Australia,Zinc,"Port Pirie zinc, South Australia","Port Pirie zinc smelter",Plant,"34. 50'  S","138. 00'  E",-33.16,138,F,,"Nyrstar Corp.","Nyrstar Corp., 100%",,Active,40,"thousand metric tons per year",,847
291,291,2007,Australia,Zinc,"52 kilometers southeast of Yalgoo, Western Australia","Golden Grove underground zinc-copper mine (Gossan Hill)",Mine,"29. 16'  S","116. 56'  E",-28.74,116.94,F,U,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,15,"thousand metric tons per year",,847
292,292,2007,Australia,Zinc,"80 kilometers south-southwest of Burnie, Tasmania","Hellyer underground zinc-lead-copper-silver mine",Mine,"42. 25'  S","145. 44'  E",-41.58,145.73,F,U,,"Intec Ltd., 50%; Polymetals Mining  Services Pty. Ltd., 50%",,Active,13,"thousand metric tons per year",,847
293,293,2007,Australia,Zinc,"8 kilometers south of Cobar, New South Wales","Peak underground gold-zinc-lead-copper-silver underground mine (includes New Cobar, New Occidental, and Persevar)",Mine,"32. 26'  S","145. 52'  E",-31.56,145.87,F,,"GoldCorp Inc","GoldCorp Inc, 100%",,Active,8,"thousand metric tons per year",,847
294,294,2007,Australia,Zinc,"250 kilometers northwest of Mount Isa, Queensland","Century open pit zinc-silver-lead mine",Mine,"19. 16'  S","138. 37'  E",-18.73,138.61,F,S,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,5,"thousand metric tons per year",,847
295,295,2007,Australia,Zinc,"200 kilometers southeast of Mount Isa, Queensland","Cannington underground silver-lead-zinc mine",Mine,"22. 09'  S","140. 55'  E",-21.85,140.91,F,U,"BHP Billiton Ltd.","BHP Billiton Ltd., 100%",,Active,1,"thousand metric tons per year",,847
296,296,2007,Australia,Zinc,"35 kilometers north of Queenstown, Tasmania","Rosebery underground zinc-lead-silver-copper-gold mine",Mine,"42. 14'  S","145. 33'  E",-41.77,145.55,F,U,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,1,"thousand metric tons per year",,847
297,297,2007,Bangladesh,Cement,Dhaka,"Plant at Dhaka",Plant,"23. 43'  N","090. 25'  E",23.72,90.41,A,,"Shah Cement Industries Ltd.",,,Active,1860,"thousand metric tons per year",,847
298,298,2007,Bangladesh,Cement,"Chhatak, Sunamganj","Plant at Chhatak",Plant,"25. 02'  N","091. 40'  E",25.04,91.67,F,,"Lafarge Surma Cement Ltd. (Lafarge Group and Cementos Molins S.A.)","Lafarge Group and Cementos Molins S.A.",,Active,1500,"thousand metric tons per year",,847
299,299,2007,Bangladesh,Cement,Muktarpul,"Plant at Muktarpul",Plant,"23. 33'  N","090. 22'  E",23.55,90.37,A,,"Premier Cement Mills Ltd.",,,Active,1460,"thousand metric tons per year","Combined capacity for positions 299.300.",847
300,300,2007,Bangladesh,Cement,Munshiganj,"Plant at Munshiganj",Plant,"23. 34'  N","090. 31'  E",23.57,90.52,F,,"Premier Cement Mills Ltd.",,,Active,1460,"thousand metric tons per year","Combined capacity for positions 299.300.",847
301,301,2007,Bangladesh,Cement,Chittagong,"Plant at Chittagong",Plant,"22. 22'  N","091. 48'  E",22.36,91.8,A,,"Unique Cement Industries Ltd.",,,Active,1440,"thousand metric tons per year","Combined capacity for positions 301.303.",847
302,302,2007,Bangladesh,Cement,Dhaka,"Plant at Dhaka",Plant,"23. 43'  N","090. 25'  E",23.72,90.41,A,,"Unique Cement Industries Ltd.",,,Active,1440,"thousand metric tons per year","Combined capacity for positions 301.303.",847
303,303,2007,Bangladesh,Cement,Sylhet,"Plant at Sylhet",Plant,"24. 32'  N","091. 52'  E",24.53,91.87,A,,"Unique Cement Industries Ltd.",,,Active,1440,"thousand metric tons per year","Combined capacity for positions 301.303.",847
304,304,2007,Bangladesh,Cement,Bagerhat,"Plant at Bagerhat",Plant,"22. 39'  N","089. 47'  E",22.65,89.79,A,,"Holcim (Bangladesh) Ltd.",,,Active,1300,"thousand metric tons per year","Combined capacity for positions 304.305.",847
305,305,2007,Bangladesh,Cement,Narayanganj,"Plant at Narayanganj",Plant,"23. 34'  N","090. 31'  E",23.57,90.52,F,,"Holcim (Bangladesh) Ltd.",,,Active,1300,"thousand metric tons per year","Combined capacity for positions 304.305.",847
306,306,2007,Bangladesh,Cement,Sylhet,"Plant at Sylhet",Plant,"24. 32'  N","091. 52'  E",24.53,91.87,A,,"Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla)",,,Active,1100,"thousand metric tons per year",,847
307,307,2007,Bangladesh,Cement,Chittagong,"Plant at Chittagong",Plant,"22. 22'  N","091. 48'  E",22.36,91.8,A,,"Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla)",,,Active,1000,"thousand metric tons per year",,847
308,308,2007,Bangladesh,Cement,Chittagong,"Plant at Chittagong",Plant,"22. 22'  N","091. 48'  E",22.36,91.8,A,,"Heidelberg Cement Bangladesh Ltd.",,,Active,1000,"thousand metric tons per year","Combined capacity for positions 308.309.",847
309,309,2007,Bangladesh,Cement,Dhaka,"Plant at Dhaka",Plant,"23. 43'  N","090. 25'  E",23.72,90.41,A,,"Heidelberg Cement Bangladesh Ltd.",,,Active,1000,"thousand metric tons per year","Combined capacity for positions 308.309.",847
310,310,2007,Bangladesh,Cement,"Mahmudnagar, Narayanganj","Plant at Mahmudnagar",Plant,"23. 38'  N","090. 29'  E",23.63,90.48,A,,"Cemex Cement Bangladesh Ltd.",,,Active,600,"thousand metric tons per year",,847
311,311,2007,Bangladesh,Coal,Barapukuria,"Mine at Barapukuria",Mine,"24. 18'  N","088. 58'  E",24.3,88.97,A,,"Barapukuria Coal Mining Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,1000,"thousand metric tons per year",,847
312,312,2007,Bangladesh,Fertilizer,Ghorasal,"Plant at Ghorasal",Plant,"23. 56'  N","090. 37'  E",23.93,90.61,F,,"Bangladesh Chemical Fertilizer Corp.",,,Active,600,"thousand metric tons per year",,847
313,313,2007,Bangladesh,Fertilizer,Auganish,"Plant at Auganish",Plant,"23. 56'  N","090. 38'  E",23.93,90.63,A,,"Bangladesh Chemical Fertilizer Corp.",,,Active,560,"thousand metric tons per year",,847
314,314,2007,Bangladesh,Fertilizer,Fenchugani,"Plant at Fenchugani",Plant,"24. 42'  N","091. 57'  E",24.7,91.95,A,,"Bangladesh Chemical Fertilizer Corp.",,,Active,100,"thousand metric tons per year",,847
315,315,2007,Bangladesh,Granite,Maddhapara,"Plant at Maddhapara",Plant,"25. 37'  N","088. 45'  E",25.62,88.75,A,,"Maddhapara Granite Mining Co. Ltd.",,,Active,1650,"thousand metric tons per year",,847
316,316,2007,Bangladesh,"Gas: natural",Bakhrabad,"Fields at Bakhrabad","Oil, Gas","23. 30'  N","090. 55'  E",23.5,90.92,A,,"Bangladesh Gas Fields Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,22,"million cubic meters per day","Combined capacity for positions 316.320.",847
317,317,2007,Bangladesh,"Gas: natural",Habiganj,"Fields at Habiganj","Oil, Gas","24. 23'  N","091. 25'  E",24.38,91.42,A,,"Bangladesh Gas Fields Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,22,"million cubic meters per day","Combined capacity for positions 316.320.",847
318,318,2007,Bangladesh,"Gas: natural",Meghna,"Fields at Meghna","Oil, Gas","23. 52'  N","089. 22'  E",23.87,89.37,A,,"Bangladesh Gas Fields Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,22,"million cubic meters per day","Combined capacity for positions 316.320.",847
319,319,2007,Bangladesh,"Gas: natural",Narshingdi,"Fields at Narshingdi","Oil, Gas","23. 56'  N","090. 38'  E",23.93,90.63,A,,"Bangladesh Gas Fields Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,22,"million cubic meters per day","Combined capacity for positions 316.320.",847
320,320,2007,Bangladesh,"Gas: natural",Titas,"Fields at Titas","Oil, Gas","23. 55'  N","090. 58'  E",23.92,90.97,A,,"Bangladesh Gas Fields Co. Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,22,"million cubic meters per day","Combined capacity for positions 316.320.",847
321,321,2007,Bangladesh,"Gas: natural",Jalalabad,"Fields at Jalalabad","Oil, Gas","24. 21'  N","088. 55'  E",24.35,88.92,A,,"Unocal Bangladesh Ltd.",,,Active,9.7,"million cubic meters per day","Combined capacity for positions 321.322.",847
322,322,2007,Bangladesh,"Gas: natural",Moulovibazar,"Fields at Moulovibazar","Oil, Gas","24. 29'  N","091. 47'  E",24.48,91.78,A,,"Unocal Bangladesh Ltd.",,,Active,9.7,"million cubic meters per day","Combined capacity for positions 321.322.",847
323,323,2007,Bangladesh,"Gas: natural",Bibiyana,"Fields at Bibiyana","Oil, Gas","24. 42'  N","091. 23'  E",24.7,91.38,A,,"Niko Resources Ltd.",,,Active,6.1,"million cubic meters per day","Combined capacity for positions 323.324.",847
324,324,2007,Bangladesh,"Gas: natural",Feni,"Fields at Feni","Oil, Gas","23. 01'  N","091. 25'  E",23.02,91.41,A,,"Niko Resources Ltd.",,,Active,6.1,"million cubic meters per day","Combined capacity for positions 323.324.",847
325,325,2007,Bangladesh,"Gas: natural",Beanibazar,"Fields at Beanibazar","Oil, Gas","24. 50'  N","092. 10'  E",24.83,92.16,A,,"Sylhet Gas Fields Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,5.4,"million cubic meters per day","Combined capacity for positions 325.328.",847
326,326,2007,Bangladesh,"Gas: natural",Kailashtila,"Fields at Kailashtila","Oil, Gas","24. 52'  N","092. 01'  E",24.87,92.02,A,,"Sylhet Gas Fields Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,5.4,"million cubic meters per day","Combined capacity for positions 325.328.",847
327,327,2007,Bangladesh,"Gas: natural",Rashidpur,"Fields at Rashidpur","Oil, Gas","24. 46'  N","090. 00'  E",24.77,90,A,,"Sylhet Gas Fields Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,5.4,"million cubic meters per day","Combined capacity for positions 325.328.",847
328,328,2007,Bangladesh,"Gas: natural",Sylhet,"Fields at Sylhet","Oil, Gas","24. 32'  N","091. 52'  E",24.53,91.87,A,,"Sylhet Gas Fields Ltd.","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,5.4,"million cubic meters per day","Combined capacity for positions 325.328.",847
329,329,2007,Bangladesh,"Gas: natural","Sangu (offshore)","Fields at Sangu","Oil, Gas","21. 41'  N","092. 10'  E",21.68,92.17,A,,"Cairn Energy plc",,,Active,3.2,"million cubic meters per day",,847
330,330,2007,Bangladesh,"Gas: natural",Bangura,"Fields at Bangura","Oil, Gas","24. 02'  N","090. 34'  E",24.03,90.57,A,,"Tullow Oil plc",,,Active,1.7,"million cubic meters per day",,847
331,331,2007,Bangladesh,"Gas: natural",Fenchuganj,"Fields at Fenchuganj","Oil, Gas","24. 42'  N","091. 57'  E",24.7,91.95,A,,"Bangladesh Petroleum Exploration and Production Co. Ltd. (BAPEX)","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,1.6,"million cubic meters per day","Combined capacity for positions 331.332.",847
332,332,2007,Bangladesh,"Gas: natural",Saldanadi,"Fields at Saldanadi","Oil, Gas","23. 41'  N","091. 09'  E",23.68,91.15,A,,"Bangladesh Petroleum Exploration and Production Co. Ltd. (BAPEX)","Bangladesh Oil, Gas, and Mineral Corp. (Petrobangla), 100%",,Active,1.6,"million cubic meters per day","Combined capacity for positions 331.332.",847
333,333,2007,Bangladesh,"Petroleum: crude",Sangu,"Fields at Sangu","Oil, Gas","21. 41'  N","092. 10'  E",21.68,92.17,A,,"Cairn Energy plc",,,Active,30000,"42-gallon barrels per day",,847
334,334,2007,Bangladesh,"Petroleum: refined",Chittagong,"Refinery at Chittagong",Plant,"22. 22'  N","091. 48'  E",22.36,91.8,A,,"Eastern Refinery Ltd.",,,Active,34000,"42-gallon barrels per day",,847
335,335,2007,Bangladesh,Steel,Chittagong,"Plant at Chittagong",Plant,"22. 22'  N","091. 48'  E",22.36,91.8,A,,"Bangladesh Steel and Engineering Corp.",,,Active,20,"thousand metric tons per year",,847
336,336,2007,Bhutan,Cement,"Plant at Gomtu","Gomtu, Samtse District",Plant,"26. 49'  N","089. 11'  E",26.82,89.19,F,,"Penden Cement Authority Ltd.",,,Active,100,"thousand metric tons per year",,847
337,337,2007,Bhutan,Dolomite,"Mine at Gomtu","Gomtu, Samtse District",Mine,"26. 49'  N","089. 11'  E",26.82,89.19,F,,"Jigme Mining Corp. Ltd.",,,Active,900,"thousand metric tons per year",,847
338,338,2007,Bhutan,Ferrosilicon,"Mine at Phuentsholing",Phuentsholing,Mine,"26. 51'  N","089. 24'  E",26.85,89.4,A,,"Bhutan Ferro Alloys Ltd.",,,Active,34,"thousand metric tons per year",,847
339,339,2007,Brunei,Cement,"Near Muara","Plant near Muara",Plant,"05. 01'  N","115. 04'  E",5.01,115.07,F,,"Butra Heidelberg Cement Sendirian Berhad","Heidelberg Cement Group, 100%",,Active,500,"thousand metric tons per year",,847
